ID,present,WC_alt,WC_bio1,WC_bio2,WC_bio6,ER_tri,ER_topoWet,lon,lat
25,1,205,25.700000762939453,9.699999809265137,18,14.15999984741211,11.550000190734863,106.83452,12.46434
26,1,156,26,9.600000381469727,18.299999237060547,9.289999961853027,12.210000038146973,106.76474,12.45797
27,1,243,25.399999618530273,9.699999809265137,17.799999237060547,26.959999084472656,10.9399995803833,106.95174,12.27582
28,1,156,26,9.600000381469727,18.299999237060547,9.289999961853027,12.210000038146973,106.76459,12.45999
29,1,156,26,9.600000381469727,18.299999237060547,9.289999961853027,12.210000038146973,106.77106,12.46505
30,1,156,26,9.600000381469727,18.299999237060547,9.289999961853027,12.210000038146973,106.83127,12.45501
31,1,206,25.5,9.600000381469727,18,20.3700008392334,11.25,106.95734,12.14593
32,1,206,25.5,9.600000381469727,18,20.3700008392334,11.25,106.9524,12.14674
33,1,154,25.399999618530273,8.899999618530273,18.5,12.6899995803833,11.859999656677246,107.362518,11.474642
34,1,195,25.200000762939453,8.899999618530273,18.100000381469727,49.90999984741211,9.960000038146973,107.537253,11.557024
35,1,309,25.100000381469727,9.699999809265137,17.200000762939453,17.1299991607666,11.75,107.084566,12.741652
36,1,278,24.799999237060547,9.300000190734863,17.600000381469727,36.970001220703125,10.649999618530273,107.260025,11.67868
37,1,NA,NA,NA,NA,NA,NA,107.547896,11.402943
38,1,397,24,9,16.899999618530273,78.79000091552734,8.9399995803833,107.593114,11.461023
39,1,168,25.399999618530273,8.899999618530273,18.299999237060547,28.940000534057617,11.140000343322754,107.49269,11.56982
40,1,301,24.600000381469727,8.899999618530273,17.5,44.150001525878906,10.170000076293945,107.57411,11.434574
41,1,195,25.200000762939453,8.899999618530273,18.100000381469727,49.90999984741211,9.960000038146973,107.56894,11.573704
42,1,447,23.700000762939453,9.100000381469727,16.5,82.4000015258789,9.029999732971191,107.587015,11.529057
43,1,301,24.600000381469727,8.899999618530273,17.5,44.150001525878906,10.170000076293945,107.52558,11.475632
44,1,195,25.200000762939453,8.899999618530273,18.100000381469727,49.90999984741211,9.960000038146973,107.529975,11.550755
45,1,195,25.200000762939453,8.899999618530273,18.100000381469727,49.90999984741211,9.960000038146973,107.547249,11.524192
46,1,195,25.200000762939453,8.899999618530273,18.100000381469727,49.90999984741211,9.960000038146973,107.500812,11.533696
47,1,301,24.600000381469727,8.899999618530273,17.5,44.150001525878906,10.170000076293945,107.556228,11.474735
48,1,269,25.100000381469727,9.600000381469727,17.600000381469727,27.329999923706055,10.890000343322754,107.02208,12.1465
49,1,405,24.399999618530273,9.800000190734863,16.799999237060547,33.2400016784668,10.420000076293945,107.07929,12.26866
50,1,508,23.799999237060547,9.800000190734863,16.100000381469727,41.79999923706055,10.579999923706055,107.14225,12.27735
51,1,405,24.399999618530273,9.800000190734863,16.799999237060547,33.2400016784668,10.420000076293945,107.01639,12.26929
52,1,508,23.799999237060547,9.800000190734863,16.100000381469727,41.79999923706055,10.579999923706055,107.14237,12.26806
53,1,269,25.100000381469727,9.600000381469727,17.600000381469727,27.329999923706055,10.890000343322754,107.02024,12.14603
54,1,337,24.700000762939453,9.699999809265137,17.200000762939453,44.83000183105469,10.3100004196167,107.08486,12.21606
55,1,508,23.799999237060547,9.800000190734863,16.100000381469727,41.79999923706055,10.579999923706055,107.14884,12.27721
56,1,319,25,9.800000190734863,17.299999237060547,24.530000686645508,11.0600004196167,106.95202,12.45653
57,1,405,24.399999618530273,9.800000190734863,16.799999237060547,33.2400016784668,10.420000076293945,107.07865,12.33073
58,1,644,23.100000381469727,10,15.300000190734863,32.689998626708984,10.930000305175781,107.0851,12.40142
59,1,348,24.799999237060547,9.800000190734863,17.100000381469727,28.209999084472656,10.779999732971191,106.95388,12.39363
60,1,123,26.200000762939453,9.600000381469727,18.600000381469727,6.610000133514404,12.510000228881836,106.70671,12.39541
61,1,323,24.799999237060547,9.699999809265137,17.299999237060547,39.04999923706055,10.489999771118164,107.01682,12.21719
62,1,495,24,9.899999618530273,16.200000762939453,31.389999389648438,10.680000305175781,107.077,12.39171
